?? m?c,Answer 0,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8
?? m?c 1,0 - Tôi không c?m th?y bu?n.,1 - Nhi?u lúc tôi c?m th?y chán ho?c bu?n.,2 - Lúc nào tôi c?ng c?m th?y chán ho?c bu?n và tôi không th? d?ng l?i ???c.,2 - Lúc nào tôi c?ng c?m th?y bu?n và b?t h?nh ??n m?c hoàn toàn ?au kh?.,3 - Tôi r?t bu?n ho?c r?t b?t h?nh và kh? s? ??n m?c không th? ch?u ???c.,,,,
?? m?c 2,0 - Tôi hoàn toàn không bi quan và n?n lòng v? t??ng lai.,1 - Tôi c?m th?y n?n lòng v? t??ng lai h?n tr??c ?ây.,2 - Tôi c?m th?y mình ch?ng có gì mong ??i ? t??ng lai c?.,2 - Tôi c?m th?y s? không bao gi? kh?c ph?c ???c nh?ng ?i?u phi?n mu?n c?a tôi.,3 - Tôi c?m th?y t??ng lai tuy?t v?ng và tình hình ch? có th? ti?p t?c x?u ?i ho?c không th? c?i thi?n ???c.,,,,
?? m?c 3,0 - Tôi không c?m th?y nh? b? th?t b?i.,1 - Tôi th?y mình th?t b?i nhi?u h?n nh?ng ng??i khác.,2 - Tôi c?m th?y ?ã hoàn thành r?t ít ?i?u ?áng giá ho?c ?ã hoàn thành r?t ít ?i?u có ý ngh?a.,"2 - Nhìn l?i cu?c ??i, tôi th?y mình ?ã có quá nhi?u th?t b?i.",3 - Tôi c?m th?y mình là m?t ng??i hoàn toàn th?t b?i.,"3 - Tôi t? c?m th?y hoàn toàn th?t b?i trong vai trò c?a tôi (b?, m?, ch?ng, v?…).",,,
?? m?c 4,0 - Tôi hoàn toàn không b?t mãn.,0 - Tôi còn thích thú v?i nh?ng ?i?u mà tr??c ?ây tôi v?n th??ng ?a thích.,1 - Tôi luôn luôn c?m th?y bu?n.,1 - Tôi ít th?y thích nh?ng ?i?u mà tôi v?n th??ng ?a thích tr??c ?ây.,2 - Tôi không thõa mãn v? b?t k? cái gì n?a.,2 - Tôi r?t ít thích thú v? nh?ng ?i?u tr??c ?ây tôi v?n th??ng ?a thích.,3 - Tôi không còn chút thích thú nào n?a.,3 - Tôi không hài lòng v?i m?i cái.,
?? m?c 5,0 - Tôi hoàn toàn không c?m th?y có t?i l?i gì ghê g?m c?.,1 - Ph?n nhi?u nh?ng vi?c tôi ?ã làm tôi ??u c?m th?y có t?i.,1 - Ph?n l?n th?i gian tôi c?m th?y mình t?i ho?c không x?ng ?áng.,2 - Tôi c?m th?y mình hoàn toàn có t?i.,2 - Gi? ?ây tôi luôn c?m th?y trên th?c t? mình t?i ho?c không x?ng ?áng.,3 - Lúc nào tôi c?ng c?m th?y mình có t?i.,3 - Tôi c?m th?y nh? là tôi r?t t?i ho?c vô d?ng.,,
?? m?c 6,0 - Tôi không c?m th?y ?ang b? tr?ng ph?t.,1 - Tôi c?m th?y có th? mình s? b? tr?ng ph?t.,1 - Tôi c?m th?y m?t cái gì x?u có th? ??n v?i tôi.,2 - Tôi mong ch? b? tr?ng ph?t.,2 - Tôi c?m th?y mình s? b? tr?ng ph?t.,3 - Tôi c?m th?y mình ?ang b? tr?ng ph?t.,3 - Tôi mu?n b? tr?ng ph?t.,,
?? m?c 7,0 - Tôi th?y b?n thân mình v?n nh? tr??c kia ho?c tôi không c?m th?y th?t v?ng v?i b?n thân.,"1 - Tôi th?t v?ng v?i b?n thân, tôi không còn tin t??ng vào b?n thân ho?c tôi không thích b?n thân.",2 - Tôi th?t v?ng v?i b?n thân ho?c Tôi ghê t?m b?n thân.,3 - Tôi ghét b?n thân mình ho?c Tôi c?m thù b?n thân.,,,,,
?? m?c 8,0 - Tôi không phê phán ho?c ?? l?i cho b?n thân h?n tr??c kia.,0 - Tôi không t? c?m th?y m?t chút nào x?u h?n b?t k? ai.,1 - Tôi phê phán b?n thân mình nhi?u h?n tr??c kia.,1 - Tôi t? chê mình v? s? y?u ?u?i và l?i l?m c?a b?n thân.,2 - Tôi phê phán b?n thân v? t?t c? nh?ng l?i l?m c?a mình.,2 - Tôi khi?n trách mình vì nh?ng l?i l?m c?a b?n thân.,3 - Tôi ?? l?i cho b?n thân v? t?t c? m?i ?i?u t?i t? x?y ra.,3 - Tôi khi?n trách mình v? m?i ?i?u x?u x?y ??n.,
?? m?c 9,0 - Tôi không có ý ngh? t? sát.,0 - Tôi không có b?t k? ý ngh? gì làm t?n h?i b?n thân.,1 - Tôi có ý ngh? t? sát nh?ng không th?c hi?n.,1 - Tôi có nh?ng ý ngh? làm t?n h?i b?n thân nh?ng tôi th??ng không th?c hi?n chúng.,2 - Tôi mu?n t? sát.,2 - Tôi c?m th?y giá mà tôi ch?t thì t?t h?n.,2 - Tôi c?m th?y gia ?ình tôi s? t?t h?n n?u tôi ch?t.,2 - Tôi có d? ??nh rõ ràng ?? t? sát.,3 - N?u có c? h?i tôi s? t? sát.
?? m?c 10,0 - Tôi không khóc nhi?u h?n tr??c kia.,1 -  Hi?n nay tôi hay khóc nhi?u h?n tr??c.,2 - Tôi th??ng khóc vì nh?ng ?i?u nh? nh?t.,"2 - Hi?n t?i tôi luôn luôn khóc, tôi không th? d?ng ???c.",3 - Tôi th?y mu?n khóc nh?ng không th? khóc ???c.,"3 - Tr??c ?ây th?nh tho?ng tôi v?n khóc, nh?ng hi?n t?i tôi không th? khóc ???c chút nào m?c dù tôi mu?n khóc.",,,
?? m?c 11,0 - Tôi không d? b?n ch?n và c?ng th?ng h?n th??ng l?.,0 -  Hi?n nay tôi không d? b? kích thích h?n tr??c.,1 - Tôi c?m th?y d? b?n ch?n và c?ng th?ng h?n th??ng l?.,1 - Tôi b?c mình ho?c phát cáu d? dàng h?n tr??c.,2 - Tôi c?m th?y b?n ch?n và c?ng th?ng ??n m?c khó có th? ng?i yên ???c.,2 - Tôi luôn luôn c?m th?y d? phát cáu.,3 - Tôi th?y r?t b?n ch?n và kích ??ng ??n m?c ph?i ?i l?i liên t?c ho?c làm vi?c gì ?ó.,,
?? m?c 12,0 - Tôi không m?t s? quan tâm ??n nh?ng ng??i xung quanh ho?c các ho?t ??ng khác.,"1 - Tôi ít quan tâm ??n m?i ng??i, m?i vi?c xung quanh h?n tr??c.","2 - Tôi m?t h?u h?t s? quan tâm ??n m?i ng??i, m?i vi?c xung quanh và ít có c?m tình v?i h?.",3 - Tôi không còn quan tâm ??n b?t k? ?i?u gì n?a.,3 - Tôi hoàn toàn không còn quan tâm ??n ng??i khác và không c?n ??n h? chút nào.,,,,
?? m?c 13,0 - Tôi quy?t ??nh m?i vi?c c?ng t?t nh? tr??c.,1 - Tôi th?y khó quy?t ??nh m?i vi?c h?n tr??c.,2 - Tôi th?y khó quy?t ??nh m?i vi?c h?n tr??c r?t nhi?u.,"2 - Không có s? giúp ??, tôi không th? quy?t ??nh gì ???c n?a.",3 - Tôi ch?ng còn có th? quy?t ??nh ???c vi?c gì n?a.,,,,
?? m?c 14,0 - Tôi không c?m th?y mình là ng??i vô d?ng.,0 - Tôi không c?m th?y tôi x?u h?n tr??c chút nào.,1 - Tôi không cho r?ng mình có giá tr? và có ích nh? tr??c kia.,1 - Tôi bu?n phi?n là tôi trông nh? già ho?c không h?p d?n.,2 - Tôi c?m th?y mình vô d?ng h?n so v?i nh?ng ng??i xung quanh.,2 - Tôi c?m th?y có nh?ng thay ??i trong di?n m?o làm cho tôi có v? không h?p d?n.,3 - Tôi th?y mình là ng??i hoàn toàn vô d?ng.,3 - Tôi c?m th?y tôi có v? x?u xí ho?c ghê t?m.,
?? m?c 15,0 - Tôi th?y mình v?n tràn ??y s?c l?c nh? tr??c ?ây.,1 - S?c l?c c?a tôi kém h?n tr??c ho?c tôi không làm vi?c t?t nh? tr??c.,1 - Tôi ph?i c? g?ng ?? có th? kh?? ??ng làm m?t vi?c gì.,2 - Tôi không ?? s?c l?c ?? làm ???c nhi?u vi?c n?a.,2 - Tôi ph?i c? g?ng h?t s?c ?? làm m?t vi?c gì.,3 - Tôi không ?? s?c l?c ?? làm ???c b?t c? vi?c gì n?a.,3 - Tôi hoàn toàn không th? làm m?t vi?c gì c?.,,
?? m?c 16,0 - Không th?y có chút thay ??i gì trong gi?c ng? c?a tôi.,1 - Tôi ng? h?i nhi?u h?n tr??c.,1 - Tôi ng? h?i ít h?n tr??c.,2 - Tôi ng? nhi?u h?n tr??c.,2 - Tôi ng? ít h?n tr??c.,3 - Tôi ng? h?u nh? su?t c? ngày.,3 - Tôi th?c d?y 1 - 2 gi? s?m h?n tr??c và không th? ng? l?i ???c.,,
?? m?c 17,0 - Tôi không d? cáu k?nh và b?c b?i h?n tr??c.,0 - Tôi làm vi?c không m?t h?n tr??c m?t chút nào.,1 - Tôi d? cáu k?nh và b?c b?i h?n tr??c.,1 - Tôi làm vi?c d? m?t h?n tr??c.,2 - Tôi d? cáu k?nh và b?c b?i h?n tr??c r?t nhi?u.,2 - Làm b?t c? vi?c gì tôi c?ng m?t.,3 - Lúc nào tôi c?ng d? cáu k?nh và b?c b?i.,3 - Làm b?t c? vi?c gì tôi c?ng quá m?t.,
?? m?c 18,0 - Tôi ?n v?n ngon mi?ng nh? tr??c.,1 - Tôi ?n kém ngon mi?ng h?n tr??c.,1 - Tôi ?n ngon mi?ng h?n tr??c.,2 - Tôi ?n kém ngon mi?ng h?n tr??c r?t nhi?u.,2 - Tôi ?n ngon mi?ng h?n tr??c r?t nhi?u.,3 - Tôi không th?y ngon mi?ng m?t chút nào c?.,3 - Lúc nào tôi c?ng th?y thèm ?n.,,
?? m?c 19,0 - Tôi có th? t?p trung chú ý t?t nh? tr??c.,0 -  G?n ?ây tôi không sút cân chút nào.,1 - Tôi không th? t?p trung chú ý ???c nh? tr??c.,1 - Tôi b? sút cân trên 2 Kg.,2 - Tôi th?y khó t?p trung chú ý lâu ???c vào b?t k? ?i?u gì.,2 - Tôi b? sút cân trên 4 kg.,3 - Tôi th?y mình không th? t?p trung chú ý ???c vào b?t k? ?i?u gì n?a.,3 - Tôi b? sút cân trên 6 kg.,
?? m?c 20,0 - Tôi không m?t m?i h?n tr??c.,0 - Tôi không lo l?ng v? s?c kh?e h?n tr??c.,1 - Tôi d? m?t m?i h?n tr??c.,1 - Tôi có lo l?ng v? nh?ng ?au ??n ho?c nh?ng khó ch?u ? d? dày ho?c táo bón và nh?ng c?m giác c?a c? th?.,2 - H?u nh? làm b?t k? vi?c gì tôi c?ng th?y m?t m?i.,"2 - Tôi quá lo l?ng v? s?c kh?e c?a tôi, tôi c?m th?y th? nào và ?i?u gì ?ó ??n n?i tôi r?t khó suy ngh? gì thêm n?a.",3 - Tôi quá m?t m?i khi làm b?t k? vi?c gì.,3 - Tôi hoàn toàn b? thu hút vào nh?ng c?m giác c?a tôi.,
?? m?c 21,0 - Tôi không th?y có thay ??i gì trong h?ng thú tình d?c.,1 - Tôi ít h?ng thú v?i tình d?c h?n tr??c.,2 - Hi?n nay tôi r?t ít h?ng thú v?i tình d?c.,3 - Tôi hoàn toàn m?t h?ng thú tình d?c.,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
